classe,fpr,tpr,thresholds
Verde,0.09535603715170278,0.9904282115869018,0.28
Verde,0.09597523219814241,0.9909319899244332,0.278
Verde,0.0978328173374613,0.9909319899244332,0.252
Verde,0.09907120743034056,0.9909319899244332,0.25
Verde,0.10030959752321982,0.9914357682619648,0.246
Verde,0.10340557275541795,0.9914357682619648,0.234
Verde,0.10340557275541795,0.9919395465994962,0.232
Verde,0.10526315789473684,0.9919395465994962,0.226
Verde,0.10712074303405572,0.9919395465994962,0.224
Verde,0.10773993808049535,0.9924433249370277,0.22
Verde,0.11021671826625387,0.9924433249370277,0.216
Verde,0.11021671826625387,0.9929471032745592,0.214
Verde,0.11207430340557276,0.9929471032745592,0.212
Verde,0.11269349845201239,0.9929471032745592,0.21
Verde,0.11455108359133127,0.9934508816120907,0.208
Verde,0.11640866873065016,0.9934508816120907,0.206
Verde,0.11702786377708978,0.9934508816120907,0.202
Verde,0.1195046439628483,0.9939546599496222,0.196
Verde,0.12012383900928793,0.9939546599496222,0.194
Verde,0.12136222910216718,0.9944584382871536,0.192
Verde,0.12198142414860681,0.9944584382871536,0.19
Verde,0.12321981424148606,0.9944584382871536,0.186
Verde,0.12693498452012383,0.9944584382871536,0.18
Verde,0.12755417956656348,0.9949622166246851,0.178
Verde,0.12879256965944272,0.9949622166246851,0.174
Verde,0.13188854489164087,0.9949622166246851,0.172
Verde,0.13312693498452013,0.9949622166246851,0.168
Verde,0.13436532507739937,0.9949622166246851,0.166
Verde,0.13746130030959752,0.9949622166246851,0.164
Verde,0.13808049535603714,0.9949622166246851,0.16
Verde,0.14055727554179567,0.9949622166246851,0.158
Verde,0.1411764705882353,0.9949622166246851,0.156
Verde,0.14303405572755418,0.9949622166246851,0.15
Verde,0.14551083591331268,0.9949622166246851,0.146
Verde,0.14736842105263157,0.9949622166246851,0.144
Verde,0.14860681114551083,0.9949622166246851,0.142
Verde,0.15046439628482972,0.9949622166246851,0.14
Verde,0.1523219814241486,0.9954659949622167,0.138
Verde,0.15417956656346749,0.9954659949622167,0.13
Verde,0.15541795665634675,0.9954659949622167,0.128
Verde,0.15789473684210525,0.9954659949622167,0.124
Verde,0.15789473684210525,0.9959697732997481,0.122
Verde,0.15913312693498452,0.9959697732997481,0.12
Verde,0.1609907120743034,0.9959697732997481,0.118
Verde,0.1634674922600619,0.9959697732997481,0.116
Verde,0.1653250773993808,0.9959697732997481,0.114
Verde,0.16718266253869968,0.9964735516372796,0.112
Verde,0.16904024767801856,0.9964735516372796,0.11
Verde,0.17337461300309598,0.9964735516372796,0.108
Verde,0.17461300309597524,0.996977329974811,0.106
Verde,0.17708978328173375,0.9974811083123426,0.104
Verde,0.1801857585139319,0.9974811083123426,0.102
Verde,0.18204334365325078,0.9974811083123426,0.1
Verde,0.18575851393188855,0.9974811083123426,0.098
Verde,0.19009287925696594,0.9974811083123426,0.096
Verde,0.19504643962848298,0.9974811083123426,0.094
Verde,0.19876160990712075,0.9974811083123426,0.092
Verde,0.20495356037151702,0.9979848866498741,0.09
Verde,0.20743034055727555,0.9979848866498741,0.088
Verde,0.21114551083591332,0.9979848866498741,0.086
Verde,0.21362229102167182,0.9979848866498741,0.084
Verde,0.21795665634674924,0.9979848866498741,0.082
Verde,0.22043343653250774,0.9979848866498741,0.08
Verde,0.2260061919504644,0.9979848866498741,0.078
Verde,0.23343653250773994,0.9979848866498741,0.074
Verde,0.24024767801857586,0.9979848866498741,0.072
Verde,0.24643962848297213,0.9984886649874055,0.07
Verde,0.2513931888544892,0.9984886649874055,0.068
Verde,0.25696594427244585,0.9984886649874055,0.066
Verde,0.2606811145510836,0.9984886649874055,0.064
Verde,0.26625386996904027,0.9984886649874055,0.062
Verde,0.2743034055727554,0.9984886649874055,0.06
Verde,0.28111455108359135,0.9984886649874055,0.058
Verde,0.2835913312693498,0.9984886649874055,0.056
Verde,0.2885448916408669,0.9984886649874055,0.054
Verde,0.29659442724458207,0.9984886649874055,0.052
Verde,0.3058823529411765,0.9984886649874055,0.05
Verde,0.30959752321981426,0.9984886649874055,0.048
Verde,0.3176470588235294,0.998992443324937,0.046
Verde,0.3263157894736842,0.998992443324937,0.044
Verde,0.33622291021671824,0.998992443324937,0.042
Verde,0.34365325077399383,0.998992443324937,0.04
Verde,0.35356037151702785,0.998992443324937,0.038
Verde,0.36594427244582045,0.998992443324937,0.036
Verde,0.3746130030959752,0.998992443324937,0.034
Verde,0.39814241486068114,0.998992443324937,0.03
Verde,0.4179566563467492,0.9994962216624685,0.028
Verde,0.4321981424148607,0.9994962216624685,0.026
Verde,0.4569659442724458,0.9994962216624685,0.022
Verde,0.49411764705882355,0.9994962216624685,0.018
Verde,0.5102167182662539,1.0,0.016
Verde,0.5275541795665635,1.0,0.014
Verde,0.5609907120743034,1.0,0.01
Verde,0.5814241486068111,1.0,0.008
Verde,0.6160990712074303,1.0,0.006
Verde,0.6513931888544892,1.0,0.004
Verde,0.7201238390092879,1.0,0.002
Verde,1.0,1.0,0.0
Amarelo,0.0,0.0,inf
Amarelo,0.0,0.0033444816053511705,0.988
Amarelo,0.0,0.004459308807134894,0.986
Amarelo,0.0,0.011148272017837236,0.982
Amarelo,0.0,0.013377926421404682,0.98
Amarelo,0.0,0.017837235228539576,0.978
Amarelo,0.0,0.023411371237458192,0.976
